Transaction ID,Date,Product ID,Product Name,Product Category,Quantity,PPU,Amount,Customer ID,Region
T000001,01-01-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,13,"25,000","325,000",Customer-190,Yangon
T000002,01-01-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,500,"25,000","12,500,000",Customer-985,Bago
T000003,01-01-2025,PROD-009,Adjustable Monitor Arm,Furniture,25,"180,000","4,500,000",Customer-625,Mandalay
T000004,01-01-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,41,"350,000","14,350,000",Customer-882,Yangon
T000005,01-01-2025,PROD-009,Adjustable Monitor Arm,Furniture,28,"180,000","5,040,000",Customer-801,Bago
T000006,01-01-2025,PROD-007,USB-C Docking Station,Electronics,7,"250,000","1,750,000",Customer-666,Yangon
T000007,01-01-2025,PROD-009,Adjustable Monitor Arm,Furniture,35,"180,000","6,300,000",Customer-999,Naypyitaw
T000008,01-01-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,21,"120,000","2,520,000",Customer-364,Taunggyi
T000009,01-01-2025,PROD-007,USB-C Docking Station,Electronics,32,"250,000","8,000,000",Customer-803,Taunggyi
T000010,02-01-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,21,"350,000","7,350,000",Customer-931,Yangon
T000011,02-01-2025,PROD-003,27-inch 4K Monitor,Electronics,30,"1,200,000","36,000,000",Customer-469,Taunggyi
T000012,02-01-2025,PROD-004,Standing Desk Converter,Furniture,12,"500,000","6,000,000",Customer-822,Naypyitaw
T000013,02-01-2025,PROD-009,Adjustable Monitor Arm,Furniture,17,"180,000","3,060,000",Customer-151,Mandalay
T000014,02-01-2025,PROD-010,Webcam 1080p HD,Electronics,35,"200,000","7,000,000",Customer-904,Mandalay
T000015,02-01-2025,PROD-005,Noise-Cancelling Headphones,Electronics,400,"950,000","380,000,000",Customer-732,Naypyitaw
T000016,02-01-2025,PROD-003,27-inch 4K Monitor,Electronics,24,"1,200,000","28,800,000",Customer-199,Yangon
T000017,02-01-2025,PROD-003,27-inch 4K Monitor,Electronics,26,"1,200,000","31,200,000",Customer-747,Naypyitaw
T000018,02-01-2025,PROD-003,27-inch 4K Monitor,Electronics,340,"1,200,000","408,000,000",Customer-410,Yangon
T000019,03-01-2025,PROD-010,Webcam 1080p HD,Electronics,26,"200,000","5,200,000",Customer-054,Mandalay
T000020,03-01-2025,PROD-004,Standing Desk Converter,Furniture,13,"500,000","6,500,000",Customer-337,Mandalay
T000021,03-01-2025,PROD-009,Adjustable Monitor Arm,Furniture,30,"180,000","5,400,000",Customer-761,Mandalay
T000022,03-01-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,45,"350,000","15,750,000",Customer-674,Yangon
T000023,03-01-2025,PROD-007,USB-C Docking Station,Electronics,36,"250,000","9,000,000",Customer-634,Yangon
T000024,03-01-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,36,"120,000","4,320,000",Customer-836,Yangon
T000025,03-01-2025,PROD-005,Noise-Cancelling Headphones,Electronics,22,"950,000","20,900,000",Customer-283,Yangon
T000026,03-01-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,36,"25,000","900,000",Customer-940,Taunggyi
T000027,03-01-2025,PROD-009,Adjustable Monitor Arm,Furniture,15,"180,000","2,700,000",Customer-535,Yangon
T000028,03-01-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,25,"350,000","8,750,000",Customer-729,Bago
T000029,03-01-2025,PROD-010,Webcam 1080p HD,Electronics,360,"200,000","72,000,000",Customer-251,Yangon
T000030,03-01-2025,PROD-007,USB-C Docking Station,Electronics,130,"250,000","32,500,000",Customer-678,Bago
T000031,06-01-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,26,"25,000","650,000",Customer-913,Yangon
T000032,06-01-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,37,"120,000","4,440,000",Customer-699,Mandalay
T000033,06-01-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,16,"350,000","5,600,000",Customer-092,Naypyitaw
T000034,06-01-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,70,"25,000","1,750,000",Customer-251,Yangon
T000035,06-01-2025,PROD-010,Webcam 1080p HD,Electronics,48,"200,000","9,600,000",Customer-095,Yangon
T000036,06-01-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,19,"25,000","475,000",Customer-447,Naypyitaw
T000037,06-01-2025,PROD-009,Adjustable Monitor Arm,Furniture,33,"180,000","5,940,000",Customer-840,Mandalay
T000038,06-01-2025,PROD-004,Standing Desk Converter,Furniture,32,"500,000","16,000,000",Customer-530,Taunggyi
T000039,06-01-2025,PROD-010,Webcam 1080p HD,Electronics,30,"200,000","6,000,000",Customer-250,Naypyitaw
T000040,06-01-2025,PROD-007,USB-C Docking Station,Electronics,37,"250,000","9,250,000",Customer-720,Taunggyi
T000041,06-01-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,37,"120,000","4,440,000",Customer-596,Mandalay
T000042,06-01-2025,PROD-007,USB-C Docking Station,Electronics,490,"250,000","122,500,000",Customer-620,Yangon
T000043,06-01-2025,PROD-005,Noise-Cancelling Headphones,Electronics,47,"950,000","44,650,000",Customer-614,Taunggyi
T000044,07-01-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,210,"25,000","5,250,000",Customer-243,Mandalay
